report	provider_number	npi	fy_start	fy_end	date_processed	date_created	status	year	data_source	beds	tot_charges	net_pat_rev	tot_discounts	tot_operating_exp	ip_charges	icu_charges	ancillary_charges	tot_discharges	mcare_discharges	mcaid_discharges	tot_mcare_payment	secondary_mcare_payment	street	city	state	zip	county	name	uncomp_care	cost_to_charge	new_cap_ass	cash	fixed_assets	depr_land	depr_bldg	depr_lease	depr_fixed_equip	depr_auto	depr_major_equip	depr_minor_equip	current_assets	current_liabilities	pps_ip_charges	pps_op_charges	pps_mcare_cost	pps_pgm_cost
263236	154008		07/01/2009	06/30/2010	02/23/2011	02/22/2011	2	2009	v1996														402 W WASHINGTON RM W353	INDIANAPOLIS	IN	46204	MARION	LARUE D CARTER MEMORIAL																		
263237	154017		07/01/2009	06/30/2010	02/23/2011	02/22/2011	2	2009	v1996														720 N MARR ROAD	COLUMBUS	IN	47201	BARTHOLOMEW	QUINCO CONSULTING CENTER																		
263238	234011		01/01/2009	12/31/2009	02/23/2011	02/04/2011	2	2009	v1996	100	19061938	13518753	5543185	14248874	17732820		1329118	2875	441	1757			10300 W EIGHT MILE ROAD	FERNDALE	MI	48220	OAKLAND	KINGSWOOD HOSPITAL			107553	118786000	895658000	6423000	340179000				547629000		395479000	255230000	19061938		2517064	2456760
263239	493302		07/01/2009	06/30/2010	02/23/2011	02/11/2011	2	2009	v1996														2924 BROOK ROAD	RICHMOND	VA	23220	RICHMOND	CHILDREN S HOSPITAL																		
263240	521343		10/01/2008	09/30/2009	02/23/2011	02/09/2011	2	2009	v1996	22	63260847	35502547	27758300	35907136	3822167	388341	10121954	1050	657	25			900 RIDGE STREET	STOUGHTON	WI	53589-1896	DANE	STOUGHTON HOSPITAL ASSOCIATION			22144	5590951	18850550						20557668		11893619	3912738	19544502	35140123	5757832	
263241	521344		10/01/2008	09/30/2009	02/23/2011	02/15/2011	2	2009	v1996	25	25789509	14558327	11231182	16015738	2173495		4488752	365	171	28			205 PARKER STREET	BOSCOBEL	WI	53805	GRANT	MEMORIAL HOSPITAL OF BOSCOBEL			404595	1058621	8412818	94271	5469381		729017		4181640		3516212	1235991	9613365	14726471	1385687	
263246	271324		01/01/2009	12/31/2009	02/23/2011	02/11/2011	2	2009	v1996	20	12674628	10183223	2491405	11661305	531629		1050394	205	102	23			805 SUNSET BLVD	CONRAD	MT	59425	PONDERA	PONDERA MEDICAL CENTER			233161	331727	3011641	133102	3373994		1445299		3154690		2426725	1536695	5140313	6999741	619830	
263247	272001		09/01/2009	08/31/2010	02/23/2011	02/22/2011	1	2009	v1996	40	26503647	16416465	10087182	15785020	12320400		14183247	322	214	32			3528 GABEL ROAD	BILLINGS	MT	59102	YELLOWSTONE	ADVANCED CARE HOSPITAL OF MONTANA			29401	534736	12415280	251803	509755				1822685		2578514	53101861	26503647		10431811	8789651
263257	520049		10/01/2008	09/30/2009	02/23/2011	02/08/2011	5	2009	v1996	161	526612967	275922662	250690305	268113147	31322878	12022779	145340012	7869	2479	413	27263589	3932	744 S WEBSTER AVENUE	GREEN BAY	WI	54305-3400	BROWN	BELLIN MEMORIAL HOSPITAL	4554675	.400475	2967803	38260633	113558241	1616397	36161058		29736333		60220850		84771813	33937288	186305954	239126816	29466620	26273966
263263	171362		01/01/2009	12/31/2009	02/24/2011	02/24/2011	2	2009	v1996	19	36044102	21058578	14985524	21126733	1715264	97040	8195490	707	386	60			100 E. COLLEGE DRIVE	COLBY	KS	67701	THOMAS	CITIZENS MEDICAL CENTER			1371300	262971	7328715	831936	7865978		563258		6866691		5025565	3893320	14461869	20061684	2228467	
263265	111330		10/01/2008	09/30/2009	02/24/2011	02/23/2011	3	2009	v1996	22	40970872	11927498	29043374	13791225	453208		4195670	425	220	41			424 NORTH MAIN STREET	CEDARTOWN	GA	30125	POLK	POLK MEDICAL CENTER	7290795	.302468	280087	1025	2089413			3734892	243423		3971495	763687	2355303	802924	4655839	36315034	1573732	
263271	241306		01/01/2009	12/31/2009	02/24/2011	02/15/2011	2	2009	v1996	25	23153672	14430540	8723132	13061858	1810015		3749711	563	247	103			611 EAST FAIRVIEW AVENUE	OLIVIA	MN	56277-1397	RENVILLE	RENVILLE COUNTY HOSPITAL AND CLINICS			451233	8049448	3023613	125464	2704101		1952916		3012520		11069332	1030248	5948272	14506350	1154927	
263272	241350		10/01/2008	09/30/2009	02/24/2011	02/23/2011	2	2009	v1996	25	51793225	33986439	17806786	33300394	3068724	387091	12877426	1026	364	163			710 KENWOOD AVENUE SOUTH	MOOSE LAKE	MN	55767	CARLTON	MERCY HOSPITAL & HEALTH CARE CENTER			465027	4970168	12360034	497969	5239333		3298468		5816282		12448562	4732984	21991769	24718377	2446023	
263275	140189		07/01/2009	06/30/2010	02/24/2011	11/18/2010	1	2009	v1996	99	351774565	137926216	213848349	326699601	17173846	2736408	88219142	5794	2703	1071	19346830	8924	1000 HEALTH CENTER DRIVE	MATTOON	IL	61920	COLES	SARAH BUSH LINCOLN HEALTH CENTER		.287456	7754643	13480873	64632311								50877865	27871376	112446539	228593023	19460204	18091344
263280	141340		05/01/2009	04/30/2010	02/24/2011	10/13/2010	1	2009	v1996	25	80530729	42077253	38453476	41281942	3710345	1023517	16868318	1112	444	250			11 EAST PLEASANT AVENUE	SANDWICH	IL	60548	DEKALB	VALLEY WEST COMMUNITY HOSPITAL			1223763	5440441	19618915	568179	3603686	55227	4319047		6522159	94049	24416253	7148456	21815553	54556416	4743501	
263294	511307		07/01/2009	06/30/2010	02/24/2011	11/19/2010	1	2009	v1996	25	27174232	17210893	9963339	17373978	991965		5275250	412	264	41			ROUTE 50 & MARKET STREET	GRAFTON	WV	26354	TAYLOR	GRAFTON CITY HOSPITAL			165222	183147	3174355	106872	5574222		681291		5453907		3934595	4061666	11066223	13648327	922361	
263295	511314		07/01/2009	06/30/2010	02/24/2011	11/15/2010	1	2009	v1996	25	15858718	9499579	6359139	10810529	1552293		2389850	371	222	18			RT 2 BOX 52W	BUCKEYE	WV	24924	POCAHONTAS	POCAHONTAS MEMORIAL HOSPITAL	620160	.700314	122290	184108	2617251	17143	2562466		479894		1155264		2184373	2513448	3928222	9437912	1596628	
263297	521308		05/01/2009	04/30/2010	02/24/2011	10/13/2010	1	2009	v1996	25	72145642	46930335	25215307	48361327	3639727	589000	9968667	1144	534	62			225 SCHOLL COURT	AMERY	WI	54001-1412	POLK	AMERY REGIONAL MEDICAL CENTER			848543	3711887	37840607	542828	5444645		4252309		5154498	349740	14256795	6033840	16487235	40836580	5152486	
263299	521353		07/01/2009	06/30/2010	02/24/2011	11/16/2010	1	2009	v1996	25	30889757	19507350	11382407	18962680	2893257		6579978	605	292	29			1110 7TH AVENUE	CUMBERLAND	WI	54829	BARRON	CUMBERLAND MEMORIAL HOSPITAL	266899	.599417	3329882	692691	7778706	245235	4951435	876658	1450683	348201	3940034		6460934	1544899	13795934	15948358	2141329	
263323	183026		09/01/2009	08/31/2010	02/25/2011	02/18/2011	1	2009	v1996	108	111551214	46910255	64640959	49287274	98093622			2090	1005	312			2050 VERSAILLES ROAD	LEXINGTON	KY	40504	FAYETTE	CARDINAL HILL REHABILITATION HOSP			19389983	4393979	37426246	1176284	14129381			346523	10382381	196750	13046751	9132953	111548197	804871	13940955	13286046
263330	251308		10/01/2008	09/30/2009	02/25/2011	02/23/2011	2	2009	v1996	25	31303464	16672097	14631367	18538654	955166		5271791	540	400	33			176 SOUTH MAIN	PONTOTOC	MS	38863-	PONTOTOC	PONTOTOC HEALTH SERVICES			132845	434142	3550731						9143155		4595370	1143629	6847898	18521081	1825232	
263331	251312		10/01/2008	09/30/2009	02/25/2011	02/24/2011	2	2009	v1996	25	18662821	11601203	7061618	10912196	2008286		3860748	754	352	74			TYLER HOLMES MEMORIAL HOSPITAL	WINONA	MS	38967	MONTGOMERY	TYLER HOLMES MEMORIAL HOSPITAL			750347	7020711	2133767						4360858		9742219	895250	5818493	9180659	1186180	
263335	453306		07/01/2009	06/30/2010	02/25/2011	12/22/2010	2	2009	v1996														3610 21ST STREET	LUBBOCK	TX	79408	LUBBOCK	COVENANT CHILDREN S HOSPITAL																		
263336	451361		01/01/2009	12/31/2009	02/25/2011	12/27/2010	2	2009	v1996	25	12037137	5507790	6529347	6137160	421005		1840446	421	209	50			2301 STATE HWY 83W	HEMPHILL	TX	75948-0750	SABINE	PREFERRED HOSPITAL LEASING HEMPHILL			110235	285275	130637						119087		2896355	1933517	2280699	8299469	1215694	
263337	451373		01/01/2009	12/31/2009	02/25/2011	12/27/2010	2	2009	v1996	25	11123444	5958417	5165027	9020032	441513		950031	320	122	23			406 SOUTH GARY AVENUE	MONAHANS	TX	79756	WARD	WARD MEMORIAL HOSPITAL				506137	2198496	139074	3941683		1679517		4206578		1870540	1054296	1479282	8579534	746426	
263338	454109		01/01/2009	12/31/2009	02/25/2011	12/28/2010	2	2009	v1996	119	54246480	18913086	35333394	14941094	50040041		6617	2579	470	76			1900 DENVER AVENUE	EL PASO	TX	79902-3008	EL PASO	UNIV. BEHAVIORAL HEALTH OF EL PASO			98264	254105	228550				115531				3217679	3045951	50046658	4199822	2838897	2661270
263340	673025		01/01/2009	12/31/2009	02/25/2011	12/29/2010	2	2009	v1996	40	14337156	8668479	5668677	8907007	7091349		7245807	638	438				1001 RAINTREE CIRCLE	ALLEN	TX	75013-4900	COLLIN	TWIN CREEKS HOSPITAL			7795	363709	838679						165078		1128004	1837670	14337156		5602512	4727988
263341	451360		01/01/2009	12/31/2009	02/25/2011	12/27/2010	2	2009	v1996	18	34330960	5462210	28868750	6290685	1174893		6884290	568	384	35			HOSPITAL DRIVE	SAN AUGUSTINE	TX	75792	SAN AUGUSTINE	MEMORIAL MEDICAL CTR - SAN AUGUSTINE			83312	8660	2921955		1396166				1801410		1272898	793367	8152005	26337477	1613839	
263342	673033		01/01/2009	12/31/2009	02/25/2011	12/27/2010	2	2009	v1996	42	23091277	12366197	10725080	11629568	12016250		11069871	577	455				1340 EMPIRE CENTRAL DRIVE	DALLAS	TX	75247	DALLAS	GLOBAL REHAB HOSPITAL-DALLAS			356203	955474	1350993								3245177	1512769	23090122	5156	8417248	7073926
263345	042012		10/01/2008	09/30/2009	02/25/2011	02/24/2011	2	2009	v1996	37	26286353	9698403	16587950	10143053	6275875		20010478	242	184				9601 INTERSTATE 630 EXIT 7	LITTLE ROCK	AR	72205-7299	PULASKI	BAPTIST HEALTH EXTENDED CARE		.370768	118976	1219855	133848			8154			18016		3407663	6621808	26286353		6987070	6906773
263351	061300		01/01/2009	12/31/2009	02/25/2011	12/30/2010	2	2009	v1996	8	4217445	4062693	154752	4700216	197535		388778	75	54	3			1208 LUTHER	EADS	CO	81036	KIOWA	WEISBROD MEMORIAL COUNTY HOSPITAL			191668	704089	1362839		850397				357622	331031	2121590	978328	1746073	2305448	282284	
263354	440039		07/01/2009	06/30/2010	02/25/2011	12/30/2010	1	2009	v1996	754	4523130818	1642894633	2880236185	1553191480	179739729	285255080	2071493877	44955	9722	12167	199920001	531505	1211 MEDICAL CENTER DRIVE	NASHVILLE	TN	37232	DAVIDSON	VANDERBILT UNIVERSITY HOSPITALS  & C	279343634	.305783	264779228		629416608	2475092	356194251				228349355		495194771	390734950	2584758129	1782316738	152274713	138571939
263355	131302		10/01/2008	09/30/2009	02/25/2011	02/22/2011	2	2009	v1996	14	18997340	11015220	7982120	9169714	2061431		3133599	651	394	53			1120 MONTANA STREET	GOODING	ID	83330	GOODING	GOODING COUNTY MEMORIAL HOSPITAL			779917	1830145	14878560	57257	1028990				2570369		4249713	1222510	5255630	11482970	2364584	
263356	131311		10/01/2008	09/30/2009	02/25/2011	02/21/2011	2	2009	v1996	25	36414363	23205472	13208891	23462109	2552033		4851723	786	341	182			895 N. SIXTH EAST	MOUNTAIN HOME	ID	83647	ELMORE	ELMORE MEDICAL CENTER			851304	5563611	9990583	357381	5171854		791137		2883132		11004277	2548174	13034664	20750392	1842068	
263357	131312		10/01/2008	09/30/2009	02/25/2011	02/24/2011	2	2009	v1996	15	21106786	15544607	5562179	17223508	2099656		3436577	494	196	83			1000 STATE STREET	MCCALL	ID	83638	VALLEY	MCCALL MEMORIAL HOSPITAL			674097	4073725	10381765		5319889				5312531		9291125	1302819	5513958	11816481	1991449	
263366	241300		01/01/2009	12/31/2009	02/25/2011	02/22/2011	2	2009	v1996	10	9936266	6484714	3451552	6980674	473574		578091	103	61	6			414 JEFFERSON	MAHNOMEN	MN	56557	MAHNOMEN	MAHNOMEN HEALTH CENTER			1946642	669302	4554077	79346	2045032				2694178		2432875	863719	3752302	5994402	341948	
263368	241357		10/01/2008	09/30/2009	02/25/2011	02/22/2011	2	2009	v1996	24	24259475	17079653	7179822	16658095	2551816		3852292	608	239	43			900 HILLIGOSS BOULEVARD SE	FOSSTON	MN	56542-1599	POLK	FIRST CARE MEDICAL SERVICES			674190	713944	7814470	233854	3653693		5773862				5260307	2642608	9339754	11361256	1111695	
263374	453072		08/01/2009	07/31/2010	02/28/2011	01/31/2011	1	2009	v1996	49	119399314	26374097	93025217	26370137	39240913		57345443	1028	794				701 OLYMPIC PLAZA CIRCLE	TYLER	TX	75711	SMITH	ETMC REHABILITATION				5946721	1443529			369733			2902317		9364799	1222064	96601252	20937466	14261476	11967801
263381	171371		01/01/2009	12/31/2009	02/28/2011	02/28/2011	2	2009	v1996	19	19297538	13960762	5336776	14759089	1626045		3970500	637	403	22			617 LIBERTY	CLAY CENTER	KS	67432	CLAY	CLAY COUNTY MEDICAL CENTER			1624886	1671498	8562856	298604	4210128		3089131		3750043		5670199	1462479	6239179	10684038	2218603	
263396	670012		01/01/2009	12/31/2009	02/28/2011	02/18/2011	2	2009	v1996	64	262526693	71093517	191433176	67061103	13855224		129079323	2413	791		12053787	90056	5410 WEST LOOP SOUTH	HOUSTON	TX	77401	HARRIS	FOUNDATION SURGICAL HOSPITAL		.256529	2109502	4827683	12332135			647984			12561503		19232366	32634934	148192001	114334692	16129099	13097795
263407	131313		10/01/2008	09/30/2009	02/28/2011	02/25/2011	2	2009	v1996	13	13482873	10569381	2913492	11140237	560153		1503980	288	128	12			120 EAST HOWARD	DRIGGS	ID	83422	TETON	TETON VALLEY HOSPITAL			317749	234813	2632792	2209	2871835		186760		2713672		3795803	2087614	2087224	10522866	1136533	
263410	131322		10/01/2008	09/30/2009	02/28/2011	02/24/2011	2	2009	v1996	20	15683316	12198536	3484780	12527239	1487283		1888555	438	143	58			44 NORTH FIRST EAST	PRESTON	ID	83263	FRANKLIN	FRANKLIN COUNTY MEDICAL CENTER			481486	1188435	2809270		1937548		952429		2551077		4624446	1611664	6796497	6904872	780518	
263421	334048		01/01/2009	12/31/2009	03/01/2011	02/25/2011	2	2009	v1996	157	77628491	40103104	37525387	36296695	68258129		9186750	2804	1335	232			420 E 76 ST	NEW YORK	NY	10021	NEW YORK	NY GRACIE SQUARE HOSPITAL			2467607	3163000	6293000			4889000	1748000		3475000		9130000	4833000	77389029	239462	18169615	17831610
263424	171352		01/01/2009	12/31/2009	03/01/2011	02/28/2011	2	2009	v1996	24	8687029	6219175	2467854	6944689	577360		1704341	347	275	6			810 WEST COLUMBIA	OBERLIN	KS	67749	DECATUR	DECATUR COUNTY HOSPITAL			38585	90400	235210						812642		1352228	743636	3958866	4640853	1140135	
263431	251304		10/01/2008	09/30/2009	03/01/2011	03/01/2011	2	2009	v1996	9	17592005	9625298	7966707	10659940	539225		9333282	201	155	18			CHURCH STREET	CHARLESTON	MS	38921-	TALLAHATCHIE	TALLAHATCHIE CRITICAL ACCESS HOSPITA			460178	386197	6974464	353	1778810		545909	3967	491841	30498	2164104	7519568	10032407	7184269	860197	
263452	053308		09/01/2009	08/31/2010	03/01/2011	02/21/2011	2	2009	v1996														393 S. TUSTIN STREET	ORANGE	CA	92866	ORANGE	HEALTHBRIDGE CHILDRENS HOSPITAL																		
263453	054130		01/01/2009	12/31/2009	03/01/2011	02/18/2011	2	2009	v1996	68	13580488	6733581	6846907	7208579	5634002	715500	2714691	937	282				5900 BROCKTON AVENUE	RIVERSIDE	CA	92501	RIVERSIDE	KNOLLWOOD PSYCH CENTER			86089	-42871	358448		56982				347747		853978	9853234	9064193	4516295	2151458	2019022
263471	100160		10/01/2008	09/30/2009	03/01/2011	02/21/2011	2	2009	v1996	42	129547323	48218776	81328547	50150917	8321365	4818460	30056434	871	433	19	3698369		91500 OVERSEAS HIGHWAY	TAVERNIER	FL	33070	MONROE	MARINERS HOSPITAL	20766063	.306239	1864791	2000	26644262	99112	6137878	188508	37504		10699412		4529864	8713599	43196259	86351064	9306634	8312891
263476	103300		10/01/2008	09/30/2009	03/01/2011	02/21/2011	2	2009	v1996	216	779470958	274813239	504657719	273807611	55676507	120816200	355681229	8117	32	4360			801 SIXTH STREET SOUTH	ST. PETERSBURG	FL	33701	PINELLAS	ALL CHILDREN S HOSPITAL			142669775	2079724	453425817	4683408	41000832	1514705	40645871		108652883		313359260	92397781	531956433	247079694	1326145	1243613
263483	250078		10/01/2008	09/30/2009	03/01/2011	02/28/2011	5	2009	v1996	447	864552823	372581171	491971652	358032259	80807674	22505939	433220207	22425	8687	5517	90035112	217977	6051 U. S HIGHWAY 49	HATTIESBURG	MS	39402-	FORREST	FORREST GENERAL HOSPITAL	106350498	.301504	22255134	60815176	175358034	3944842	89317909	163870	8114703	959383	122319723		104379355	45890029	541514464	272585691	75548142	69505185
263491	351319		01/01/2009	12/31/2009	03/02/2011	02/23/2011	2	2009	v1996	25	12860043	10134294	2725749	10573768	746665		1681688	309	198	8			301 MOUNTAIN ST. EAST	CAVALIER	ND	58220	PEMBINA	PEMBINA COUNTY MEMORIAL HOSPITAL			538820	269555	2851104	237281	5559669				2767263		1609028	1712293	5769974	6471350	949032	
263514	161324		10/01/2008	09/30/2009	03/03/2011	03/03/2011	2	2009	v1996	25	13502546	8623037	4879509	9318630	407491		3150798	242	164	14			275 HWY NORTH	HAMBURG	IA	51640	FREMONT	GRAPE COMMUNITY HOSPITAL - HAMBURG			24862	484049	2004151	112119	1305179		1137762	20329	3146098	198234	1893527	1270350	4174587	8367094	915342	
263535	191317		10/01/2008	09/30/2009	03/03/2011	02/28/2011	2	2009	v1996	25	24268936	8867418	15401518	13391674	1654986		10490092	1695	712	482			165 BEECH SPRINGS ROAD	JONESBORO	LA	71251-	JACKSON	JACKSON PARISH HOSPITAL		.464925		432750	3347715								3864409	938044	12145078	12123857	2715439	
263536	191323		10/01/2008	09/30/2009	03/03/2011	03/01/2011	2	2009	v1996	25	20211662	14438776	5772886	15230502	1106657		4517954	701	472	134			407 CINCINNATI	DELHI	LA	71232-	RICHLAND	RICHLAND PARISH HOSPITAL NO. 1 A		.734562	491095	447525	2575508		6517167						6430094	1339210	6287886	12957363	1716200	
263546	170183		10/01/2008	09/30/2009	03/04/2011	03/04/2011	2	2009	v1996	24	72871522	32227797	40643725	25610388	3771133		33951167	1565	636	3	6604075	8847	2709 N WEBB ROAD	WICHITA	KS	67226	SEDGWICK	KANSAS SURGERY & RECOVERY CENTER		.340207	1141941	2183307	11676380	395270	4536751		527326		8238274		6995395	2915978	37723999	35147522	6114768	5637775
263550	450107		08/01/2009	07/31/2010	03/04/2011	01/31/2011	1	2009	v1996	524	2297669790	454313484	1843356306	335451931	133055892	136692469	1149481848	24713	6769	1586	79197710	5966	1801 NORTH OREGON	EL PASO	TX	79902	EL PASO	LAS PALMAS MEDICAL CENTER	208913080	.132042	31954713	86189	134397820	2286739	75195082	10921681	14149424	26041978	86309622		14037559	23981489	1446824838	850494899	77967540	71105181
263551	323028		09/01/2009	08/31/2010	03/04/2011	02/23/2011	1	2009	v1996	62	63833826	22815190	41018636	20625722	16453822		31667478	1076	463	21			505 ELM STREET NE	ALBUQUERQUE	NM	87102	BERNALILLO	LOVELACE REHABILITATION HOSPITAL	144754	.317882	439732	600	4653886	63285	965650	124106	23084	21472	314759	13593	2616697	1344583	48115131	14975294	6838309	6533680
263552	372019		09/01/2009	08/31/2010	03/04/2011	02/03/2011	1	2009	v1996	34	32657611	11951101	20706510	9311770	10159628		22497983	319	246	39			1900 GORDON COOPER	SHAWNEE	OK	74801	POTTAWATOMIE	SOLARA HOSPITAL SHAWNEE			31915	-21328	269478						487946		1760351	-4758017	32657612		6911512	6365963
263557	454094		09/01/2009	08/31/2010	03/04/2011	02/16/2011	1	2009	v1996	106	147505052	37199982	110305070	41020590	83047620		15891499	6750	1216	15			7808 CLODUS FIELDS DRIVE	DALLAS	TX	75251	DALLAS	GREEN OAKS HOSPITAL			281452	-165654	10020810		6423877	989292	627739		148550	743159	5480905	3421242	98096683	6999038	7736499	7447694
263558	060028		01/01/2009	12/31/2009	03/04/2011	12/13/2010	5	2009	v1996	396	1413145644	372295590	1040850054	357405176	147512266	77876449	612859911	24508	1073	2831	20463575	29125	1835 FRANKLIN STREET	DENVER	CO	80218	DENVER	EXEMPLA ST. JOSEPH HOSPITAL	59017000	.224562	25370968	12012795	198184259						247575158		62717118	41768896	876752901	525991345	15134642	13650202
263559	060100		01/01/2009	12/31/2009	03/04/2011	01/31/2011	5	2009	v1996	259	1190731322	326693896	864037426	295079497	62434750	54815966	536766342	13711	3714	1785	41474003	36587	1501 SOUTH POTOMAC	AURORA	CO	80012	ARAPAHOE	THE MEDICAL CENTER OF AURORA	70764550	.197587	75452896	212478	171626467	6957817	57673360	6846194	19719285	1349020	94259301		43773748	20304981	708843420	481887903	47792988	42503818
263567	241321		10/01/2008	09/30/2009	03/04/2011	02/25/2011	2	2009	v1996	15	9551584	7941892	1609692	7913472	239306		869690	68	39	2			115 WEST SECOND STREET	GRACEVILLE	MN	56240-0157	BIG STONE	GRACEVILLE HEALTH CENTER			292017	127962	1036683	23775	1534060		739885		1329148		1402284	972037	4031736	5097944	303220	
263568	241336		10/01/2008	09/30/2009	03/04/2011	02/28/2011	2	2009	v1996	15	14578725	10408412	4170313	10550638	476719		1207887	135	74	5			1010 SOUTH BIRCH	HALLOCK	MN	56728	KITTSON	KITTSON MEMORIAL HOSPITAL			1154012	1348056	4469701	117431	4458785				2057693		2533323	1240880	5203866	8404837	379467	
263593	171373		11/01/2008	10/31/2009	03/07/2011	03/07/2011	2	2009	v1996	25	40354823	15564828	24789995	16534130	3664548	175670	11394889	1317	568	67			101 SOUTH FIRST STREET	IOLA	KS	66749	ALLEN	ALLEN COUNTY HOSPITAL			247933	23789	2905015	54922	549424	403815	856347		2316145		3358136	1478835	15412767	22914355	2885479	
263600	073300		10/01/2008	09/30/2009	03/07/2011	03/01/2011	2	2009	v1996	144	344928056	178476453	166451603	185535330	68827877	57355353	83667066	6336	8	3170			282 WASHINGTON STREET	HARTFORD	CT	06106	HARTFORD	CT CHILDRENS MEDICAL CENTER		.435685	7347011	2105761	93962849	59388	30674306	1296269	1038924		33565602		33500325	42749302	209850295	135077760	149400	146729
263601	331305		01/01/2009	12/31/2009	03/07/2011	03/01/2011	2	2009	v1996	16	17777441	11607662	6169779	16988647	519581		1344627	303	221	15			460 ANDES ROAD	DELHI	NY	13753	DELAWARE	O CONNOR HOSPITAL			1626291	6471587	9437108	72092	2689092		125601		3568274		9125305	1565948	2446386	15331055	1175179	
263602	331306		01/01/2009	12/31/2009	03/07/2011	03/02/2011	2	2009	v1996	15	22301245	11779202	10522043	11491312	775566		1868545	235	166	25			1019 WICKER STREET	TICONDEROGA	NY	12883	ESSEX	MOSES LUDINGTON HOSPITAL				617949	1620837		67256				2572120		7663232	2658480	2588530	18044110	1610482	
263605	010089		07/01/2009	06/30/2010	03/07/2011	02/28/2011	5	2009	v1996	139	365509964	74071271	291438693	80815640	27503066	7426900	144727900	5797	2237	1917	17951939	21811	3400 HIGHWAY 78 EAST	JASPER	AL	35502	WALKER	WALKER - BAPTIST MEDICAL CENTER	32116860	.207816		41818	31140979		33475046						15205195	39295220	191861354	167438603	16635370	14673406
263606	010101		07/01/2009	06/30/2010	03/07/2011	03/02/2011	5	2009	v1996	82	170150333	36191780	133958553	34182939	5403558	2457808	53726030	3439	1176	1586	8255506	8108	604 STONE AVENUE	TALLADEGA	AL	35161	TALLADEGA	CITIZENS BAPTIST MEDICAL CENTER	14029503	.200909		4588	10965422							19603573	8201995	4866788	66950607	100019916	5411964	4995581
263608	393037		07/01/2009	06/30/2010	03/07/2011	03/01/2011	5	2009	v1996	90	45927782	25843237	20084545	21859698	14043900		20523873	1429	983	56			1850 NORMANDIE DRIVE	YORK	PA	17404	YORK	HEALTHSOUTH REHAB HOSPITAL OF YORK		.452695	1078979	-14086	2065053			1676690			2094694		41560115	1449497	34567773	10605717	10668395	9499634
263610	440150		01/01/2009	12/31/2009	03/07/2011	02/28/2011	5	2009	v1996	188	576657296	147808490	428848806	107069888	36694557	13079070	262755161	9211	3106	1888	27467606	39930	5655 FRIST BLVD	HERMITAGE	TN	37076-	DAVIDSON	SUMMIT MEDICAL CENTER	14526450	.185151	7937180	21522	50737956	5847689	11454176	4191548	7168725		43535676	5072522	25875728	8956191	312528788	264128508	26950636	24256476
263613	493032		06/01/2009	05/31/2010	03/07/2011	03/01/2011	5	2009	v1996	40	20354835	14052489	6302346	11934605	9335595		10931469	871	603	43			300 PARK HILL AVENUE	FREDERICKSBURG	VA	22401	SPOTSYLVANIA	REHABILITATION HOSPITAL OF FREDERICK		.542146	96280	100	13203160		1466796	909			922863		947037	569465	20267065	87771	7242575	6659462
263619	364044		06/19/2009	06/30/2010	03/07/2011	03/02/2011	5	2009	v1996	48	34599628	15311886	19287742	27230180	22941552		1457837	1367	198				4075 OLD WESTERN ROW ROAD	MASON	OH	45040	WARREN	LINDNER CENTER OF HOPE				3996759	37664545		1947768				1838659		8560222	2347125	22278833	1943136	3174712	2889374
263628	191309		10/01/2008	09/30/2009	03/08/2011	03/02/2011	2	2009	v1996	22	10696446	5002952	5693494	7726746	600950		1951173	349	178	68			301 WEST WALNUT	AMITE	LA	70422-	TANGIPAHOE	HOOD MEMORIAL HOSPITAL		.600849		1791107	1660603								4249545	299092	3183026	7577123	1065051	
263630	251324		10/01/2008	09/30/2009	03/08/2011	03/04/2011	2	2009	v1996	25	16680209	11945006	4735203	12650568	1958699		5081077	814	603	77			100 HOSPITAL DRIVE	TYLERTOWN	MS	39667-2099	WALTHALL	WALTHALL COUNTY GENERAL HOSPITAL			286618	731131	1145329		6872219						3592927	967368	7039923	8527849	2732745	
263631	251329		10/01/2008	09/30/2009	03/08/2011	03/02/2011	2	2009	v1996	3	4332870	4195153	137717	3723301	35730		301102	26	21	1			1017 JACKSON AVENUE	LEAKESVILLE	MS	39451-	GREENE	GREENE COUNTY HOSPITAL			58218	169389	73260						19938		1169458	683544	475562	3103656	195765	
263633	161306		01/01/2009	12/31/2009	03/08/2011	03/08/2011	2	2009	v1996	25	19283902	12516040	6767862	12570554	780118		1503546	271	181	12			1795 HIGHWAY 64 EAST	ANAMOSA	IA	52205	JONES	JONES REGIONAL MEDICAL CTR			14348688	803987	15103009			257453			687220		3081001	2932181	2968152	14818055	1018152	
263635	261306		11/01/2008	10/31/2009	03/08/2011	03/08/2011	2	2009	v1996	20	7269075	4889901	2379174	5993139	640925		1308431	391	247	59			630 WEST THIRD STREET	MILAN	MO	63556	SULLIVAN	SULLIVAN COUNTY MEMORIAL HOSPITAL			493330	152391	1291720	4807	2144945				2707117		1822557	1658903	2864588	4023967	950596	
263642	352004		01/01/2009	12/31/2009	03/08/2011	03/07/2011	2	2009	v1996	26	31690813	11494773	20196040	8283063	9790571		21900242	236	152				1720 S UNIVERSITY DR  6TH FLOOROR	FARGONGELO	ND	58130	CASSNREEN	TRIUMPH HOSPITAL FARGO			586818	837	944780			6944	466		6809		17985885	903008	31690813		4127387	3665171
